Cation_SMILES,Anion_SMILES,IL_SMILES,LOG10(MP)(K),MP(K),Molar mass(g/mol)
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,2.615,412.35,379.335
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,2.654,450.75,407.389
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,2.666,463.65,435.443
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,2.672,470.25,381.385
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,2.665,462.15,409.439
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,2.639,435.45,437.493
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,2.664,461.15,465.547
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,2.67,468.15,493.601
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.71,513.15,343.411
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.658,455.15,357.438
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.574,375.05,385.492
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.598,396.35,413.546
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.628,424.45,441.6
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.577,377.45,469.654
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,2.575,375.85,497.708
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,2.546,351.45,374.475
