Cation_SMILES,Anion_SMILES,IL_SMILES,MP(K),LOG10(MP)(K),Molar mass(g/mol)
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,450.75,2.654,407.389
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[B-](F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[B-](F)(F)F,463.65,2.666,435.443
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,562.15,2.75,339.304
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,520.15,2.716,353.331
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,470.25,2.672,381.385
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,462.15,2.665,409.439
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,435.45,2.639,437.493
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,461.15,2.664,465.547
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,F[P-](F)(F)(F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.F[P-](F)(F)(F)(F)F,468.15,2.67,493.601
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,513.15,2.71,343.411
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,455.15,2.658,357.438
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,375.05,2.574,385.492
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,396.35,2.598,413.546
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,424.45,2.628,441.6
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,377.45,2.577,469.654
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([O-])C(F)(F)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([O-])C(F)(F)F,375.85,2.575,497.708
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,351.45,2.546,374.475
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,396.85,2.599,388.502
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,338.35,2.529,416.556
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,340.75,2.532,444.61
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,349.45,2.543,472.664
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,365.85,2.563,500.718
CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)(F)[N-]S(=O)(=O)F,CCCCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)(F)[N-]S(=O)(=O)F,375.45,2.575,528.772
C[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,C[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,370.35,2.569,474.489
CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,390.85,2.592,488.516
CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,326.75,2.514,516.57
CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,303.75,2.483,544.624
CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,311.85,2.494,572.678
CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCCCCCCCCC[N+](C)(C)C12CC3CC(CC(C3)C1)C2.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,324.35,2.511,600.732
