Cation_ID,Cation_SMILES,Cation_PubChemID
C1684,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCCC,11223132
C0365,CC(C)OC(=O)C[n+]1ccccc1,85615784
C0168,CCCCCCCC[N+]1(C)CCCCC1,14182175
C1685,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCCCC,11384260
C1099,CCOc1ccc(C(=O)C[n+]2ccn(C)c2)cc1,13712100
C1270,CCCCCCCC[n+]1csc2ccccc21,72734631
C1682,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCC,11314554
C0599,C[n+]1ccccc1,13597
C0813,CCCCC[N+](CC)(CC)CCCCC,87534181
C1639,COCCOCC[N+](C)(C)C,13963307
C1686,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCCCCCCC,11316160
C0189,CCCCCC[P+](CC)(CCCCCC)CCCCCC,12139256
C2058,CCCc1ccc[n+](C)c1,69392971
C1551,CCCCCCCCC[N+]1(C)CCCC1,66835403
C0633,CCCCCCCc1n(C)cc[n+]1Cc1ccccc1,87805767
C1613,CC(=O)OCC[N+](C)(C)C,187
C1147,C[n+]1ccc(CCCO)cc1,23397698
C0875,CCCCCCCCCCCc1n(Cc2ccccc2)cc[n+]1CCCCC,54462797
C1476,CCCCCC[P+](CCC)(CCCCCC)CCCCCC,86043172
C2330,CCC[n+]1ccc(C)cc1,4521251
C0585,Cn1cc[n+](Cc2ccccc2)c1Sc1ccccc1,10522575
C0403,CCCCCCCn1cc[n+](CC(=O)c2ccc(NS(C)(=O)=O)cc2)c1,13763360
C1687,CCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11430502
C1059,CCC[n+]1cccc(C(N)=O)c1,408389
C0081,CCCCCCCCCCCCCCCCCC[n+]1ccn(C)c1,2734234
C0471,CCCCC[N+](C)(C)CC,23088838
C1124,Cn1cc[n+](CC(=O)c2cccc3ccccc23)c1,44313589
C0337,CCCC[N+](C)(CCCC)CCCC,36209
C0976,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,2734232
C1288,CCCC[n+]1ccccc1C,13240378
C1688,CCCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11316865
C1602,CCCC[n+]1cccc(C)c1C,101506978
C2043,CCCCCCCCCCCOC[N+](C)(C)CCO,11255333
C1537,CCCCCC[N+](C)(C)CCO,10035083
C0777,O=S(=O)(O)CCC[n+]1ccccc1,84930
C1664,CCCC[N+](C)(C)CC(=O)OCC,91805186
C0059,CCCCCCCCCCCCCCC[n+]1ccn(C)c1,4140617
C0650,CC[n+]1ccc(C(N)=O)cc1,21766073
C1042,COc1ccc(C(=O)C[n+]2ccn(C)c2)cc1OC,1596743
C1955,CCCCCC[N+]1(C)CCCCCC1,139196089
C1307,CCCC[n+]1ccc(C)c(C)c1,22568358
C1269,CCCCCCC[n+]1csc2ccccc21,14933986
C2308,CCCCc1cccc[n+]1CC,101899390
C0250,CC[n+]1ccc(C)cc1,3711856
C2298,CCCCCCCCCCCCCCCC[n+]1ccn(C)c1C,53358213
C1681,CCCCCCCCCC(=O)OCC[N+](C)(C)COCCC,11187266
C1689,CCCCCCCCCCCOC[N+](C)(C)CCOC(=O)CCCCCCCCC,11431203
C1201,CCCCCCC[P+](CCCC)(CCCC)CCCC,20458629
